




class_5 PathMinHeap
class_181 LootContextParameters
class_182 TableBonusLootCondition
class_183 Serializer
class_184 CriterionConditions
class_185 AdvancementDisplay
class_186 AlternativeLootCondition
class_187 Builder
class_188 Serializer
class_189 AdvancementFrame
class_190 DamageSourcePropertiesLootCondition
class_191 Serializer
class_192 LootConditionConsumingBuilder
class_193 CriterionMerger
class_194 AdvancementPositioner
class_195 AbstractCriterionConditions
class_196 BredAnimalsCriterion

class_198 Conditions
class_199 EntityScoresLootCondition
class_200 Serializer
class_201 SurvivesExplosionLootCondition
class_202 Serializer


class_205 LocationCheckLootCondition
class_206 Serializer
class_207 InvertedLootCondition
class_208 Serializer

class_210 Builder

class_212 BlockStatePropertyLootCondition
class_213 Builder
class_214 Serializer
class_215 EntityPropertiesLootCondition
class_216 Serializer
class_217 LootConditionTypes

class_219 RandomChanceLootCondition
class_220 Serializer
class_221 KilledByPlayerLootCondition
class_222 Serializer
class_223 MatchToolLootCondition
class_224 Serializer
class_225 RandomChanceWithLootingLootCondition
class_226 Serializer
class_227 WeatherCheckLootCondition
class_228 Serializer
class_229 FunctionTagTimerCallback
class_230 Serializer
class_231 FunctionTimerCallback
class_232 Serializer
class_233 TimerCallbackSerializer
class_234 TimerCallback
class_235 Serializer
class_236 Timer
class_237 Event
class_238 Box
class_239 HitResult
class_240 Type
class_241 Vec2f
class_242 FluidHandling
class_243 Vec3d
class_244 BitSetVoxelSet
class_245 ArrayVoxelShape
class_246 FractionalDoubleList
class_247 BooleanBiFunction
class_248 FractionalPairList
class_249 SimpleVoxelShape
class_250 IdentityPairList
class_251 VoxelSet
class_252 PositionConsumer
class_253 PositionBiConsumer
class_254 SimplePairList
class_255 PairList
class_256 Consumer
class_257 DisjointPairList

class_259 VoxelShapes
class_260 BoxConsumer
class_261 OffsetDoubleList
class_262 CroppedVoxelSet
class_263 SlicedVoxelShape

class_265 VoxelShape
class_266 ScoreboardObjective
class_267 ScoreboardPlayerScore
class_268 Team
class_269 Scoreboard
class_270 AbstractTeam
class_271 CollisionRule
class_272 VisibilityRule
class_273 ScoreboardState
class_274 ScoreboardCriterion
class_275 RenderType
class_276 Framebuffer
class_277 GlBlendState
class_278 Uniform
class_279 ShaderEffect
class_280 JsonEffectGlShader
class_281 Program
class_282 Type
class_283 PostProcessShader
class_284 GlUniform
class_285 GlProgramManager
class_286 BufferRenderer
class_287 BufferBuilder

class_289 Tessellator
class_290 VertexFormats
class_291 VertexBuffer

class_293 VertexFormat


class_296 VertexFormatElement
class_297 ComponentType
class_298 Type
class_299 ClientRecipeBook
class_300 DataQueryHandler
class_301 Untracker
class_302 HotbarStorage
class_303 ChatHudLine
class_304 KeyBinding

class_306 Key
class_307 Type
class_308 DiffuseLighting
class_309 Keyboard
class_310 MinecraftClient
class_311 GlAllocationUtils
class_312 Mouse
class_313 Monitor
class_314 RecipeBookGroup
class_315 GameOptions

class_317 RenderTickCounter
class_318 ScreenshotRecorder
class_319 VideoMode
class_320 Session
class_321 AccountType
class_322 BlockColorProvider
class_323 MonitorTracker
class_324 BlockColors
class_325 ItemColors
class_326 ItemColorProvider
class_327 TextRenderer
class_328 Rectangle
class_329 InGameHud
class_330 MapRenderer
class_331 MapTexture
class_332 DrawableHelper
class_333 NarratorManager



class_337 BossBarHud
class_338 ChatHud
class_339 ClickableWidget
class_340 DebugHud
class_341 ChatMessages
class_342 TextFieldWidget

class_344 TexturedButtonWidget
class_345 ClientBossBar

class_347 LockButtonWidget
class_348 IconLocation

class_350 EntryListWidget
class_351 Entry
class_352 Entries
class_353 ButtonListWidget
class_354 ButtonEntry
class_355 PlayerListHud
class_356 EntryOrderComparator
class_357 SliderWidget

class_359 SubtitlesHud
class_360 SubtitleEntry
class_361 ToggleButtonWidget
class_362 AbstractParentElement

class_364 Element
class_365 SpectatorHud
class_366 RecipeToast
class_367 AdvancementToast
class_368 Toast
class_369 Visibility
class_370 SystemToast
class_371 Type
class_372 TutorialToast
class_373 Type
class_374 ToastManager
class_375 Entry
class_376 BlankFont
class_377 FontStorage
class_378 FontManager
class_379 Glyph
class_380 GlyphAtlasTexture
class_381 Slot
class_382 GlyphRenderer
class_383 RenderableGlyph
class_384 EmptyGlyphRenderer

class_386 BitmapFont
class_387 Loader
class_388 BitmapFontGlyph
class_389 FontLoader
class_390 Font
class_391 UnicodeTextureFont
class_392 Loader
class_393 UnicodeTextureGlyph
class_394 FontType
class_395 TrueTypeFont
class_396 TrueTypeFontLoader
class_397 TtfGlyph





class_403 NoticeScreen
class_404 ChatOptionsScreen
class_405 BackupPromptScreen
class_406 Callback
class_407 ConfirmLinkScreen
class_408 ChatScreen

class_410 ConfirmScreen

class_412 ConnectScreen
class_413 CustomizeFlatLevelScreen

class_415 CustomizeBuffetLevelScreen

class_417 DemoScreen
class_418 DeathScreen
class_419 DisconnectedScreen
class_420 DirectConnectScreen
class_421 FatalErrorScreen
class_422 AddServerScreen
class_423 SleepingChatScreen
class_424 MessageScreen
class_425 SplashOverlay
class_426 LanguageOptionsScreen

class_428 OutOfMemoryScreen
class_429 OptionsScreen
class_430 PresetsScreen

class_432 SuperflatPresetEntry
class_433 GameMenuScreen
class_434 DownloadingTerrainScreen
class_435 ProgressScreen
class_436 OpenToLanScreen
class_437 Screen


class_440 SkinOptionsScreen

class_442 TitleScreen
class_443 SoundOptionsScreen
class_444 SoundSliderWidget
class_445 CreditsScreen
class_446 VideoOptionsScreen
class_447 StatsScreen


class_450 ItemComparator

class_452 StatsListener
class_453 AdvancementTabType
class_454 AdvancementTab
class_455 AdvancementObtainedStatus
class_456 AdvancementWidget
class_457 AdvancementsScreen
class_458 ControlsOptionsScreen
class_459 ControlsListWidget
class_460 CategoryEntry
class_461 Entry
class_462 KeyBindingEntry
class_463 AbstractCommandBlockScreen
class_464 SuggestionWindow
class_465 HandledScreen
class_466 BeaconScreen
class_467 CancelButtonWidget
class_468 DoneButtonWidget
class_469 EffectButtonWidget
class_470 BaseButtonWidget
class_471 AnvilScreen
class_472 BrewingStandScreen
class_473 BookEditScreen
class_474 PageTurnWidget
class_475 Line
class_476 GenericContainerScreen
class_477 CommandBlockScreen
class_478 CreativeInventoryListener
class_479 CraftingScreen
class_480 Generic3x3ContainerScreen
class_481 CreativeInventoryScreen
class_482 LockableSlot
class_483 CreativeScreenHandler
class_484 CreativeSlot
class_485 AbstractInventoryScreen
class_486 EnchantmentScreen
class_487 EnchantingPhrases
class_488 HopperScreen
class_489 AbstractFurnaceScreen
class_490 InventoryScreen
class_491 HorseScreen
class_492 MerchantScreen
class_493 WidgetButtonPage
class_494 LoomScreen
class_495 ShulkerBoxScreen
class_496 MinecartCommandBlockScreen
class_497 StructureBlockScreen
class_498 SignEditScreen

class_500 MultiplayerScreen



class_504 Entry
class_505 RecipeBookGhostSlots
class_506 GhostInputSlot
class_507 RecipeBookWidget
class_508 RecipeAlternativesWidget
class_509 AlternativeButtonWidget
class_510 InputSlot
class_511 FurnaceAlternativeButtonWidget
class_512 RecipeGroupButtonWidget
class_513 RecipeBookResults
class_514 AnimatedResultButton
class_515 RecipeDisplayListener
class_516 RecipeResultCollection
class_517 AbstractFurnaceRecipeBookScreen
class_518 RecipeBookProvider


class_521 PackListWidget


class_524 EditWorldScreen
class_525 CreateWorldScreen
class_526 SelectWorldScreen
class_527 OptimizeWorldScreen
class_528 WorldListWidget

class_530 TeleportToSpecificPlayerSpectatorCommand
class_531 SpectatorMenu
class_532 CloseSpectatorMenuCommand
class_533 ChangePageSpectatorMenuCommand
class_534 RootSpectatorCommandGroup
class_535 SpectatorMenuCommandGroup
class_536 SpectatorMenuCloseCallback
class_537 SpectatorMenuCommand
class_538 TeleportSpectatorMenu
class_539 SpectatorMenuState
class_540 TeamTeleportSpectatorMenu
class_541 TeleportToSpecificTeamCommand
class_542 RunArgs
class_543 WindowSettings
class_544 Directories
class_545 Game
class_546 AutoConnect
class_547 Network
class_548 ArmorStandArmorEntityModel
class_549 HorseEntityModel

class_551 ArmorStandEntityModel

class_553 BatEntityModel
class_554 BoatEntityModel
class_555 BlazeEntityModel

class_557 BookModel
class_558 ChickenEntityModel
class_559 DonkeyEntityModel
class_560 CowEntityModel
class_561 CodEntityModel
class_562 CreeperEntityModel
class_563 ElytraEntityModel
class_564 DrownedEntityModel
class_565 EndermiteEntityModel
class_566 EndermanEntityModel
class_567 GhastEntityModel
class_568 EvokerFangsEntityModel

class_570 GuardianEntityModel
class_571 RavagerEntityModel
class_572 BipedEntityModel
class_573 ArmPose
class_574 IronGolemEntityModel
class_575 IllagerEntityModel
class_576 MagmaCubeEntityModel

class_578 LlamaEntityModel
class_579 LeashKnotEntityModel
class_580 MinecartEntityModel
class_581 LlamaSpitEntityModel
class_582 OcelotEntityModel
class_583 EntityModel
class_584 ParrotEntityModel
class_585 Pose
class_586 PandaEntityModel
class_587 PigEntityModel
class_588 PhantomEntityModel

class_590 PolarBearEntityModel
class_591 PlayerEntityModel
class_592 LargePufferfishEntityModel
class_593 Quad
class_594 SmallPufferfishEntityModel
class_595 MediumPufferfishEntityModel
class_596 RabbitEntityModel
class_597 QuadrupedEntityModel
class_598 SheepWoolEntityModel
class_599 SalmonEntityModel
class_600 ShieldEntityModel
class_601 SheepEntityModel
class_602 ShulkerEntityModel
class_603 ShulkerBulletEntityModel
class_604 SilverfishEntityModel

class_606 SkeletonEntityModel
class_607 SkullEntityModel
class_608 SnowGolemEntityModel
class_609 SlimeEntityModel
class_610 SquidEntityModel
class_611 SpiderEntityModel
class_612 SmallTropicalFishEntityModel
class_613 TridentEntityModel
class_614 TurtleEntityModel
class_615 LargeTropicalFishEntityModel

class_617 VexEntityModel
class_618 Vertex
class_619 ZombieVillagerEntityModel
class_620 VillagerResemblingModel
class_621 WitherEntityModel
class_622 WitchEntityModel
class_623 ZombieEntityModel
class_624 WolfEntityModel
class_625 DragonEntityModel
class_626 DragonHeadEntityModel

class_628 Cuboid

class_630 ModelPart
class_631 ClientChunkManager
class_632 ClientAdvancementManager
class_633 Listener
class_634 ClientPlayNetworkHandler
class_635 ClientLoginNetworkHandler
class_636 ClientPlayerInteractionManager
class_637 ClientCommandSource
class_638 ClientWorld
class_639 ServerAddress
class_640 PlayerListEntry
class_641 ServerList
class_642 ServerInfo
class_643 ResourcePackPolicy
class_644 MultiplayerServerListPinger
class_645 SweepAttackParticle
class_646 Factory
class_647 CrackParticle
class_648 ItemFactory
class_649 SlimeballFactory
class_650 SnowballFactory


class_653 BubbleColumnUpParticle
class_654 Factory
class_655 WaterBubbleParticle
class_656 Factory
class_657 DamageParticle
class_658 DefaultFactory
class_659 EnchantedHitFactory

class_661 BubblePopParticle
class_662 Factory
class_663 BlockLeakParticle
class_664 DrippingLavaFactory
class_665 FallingWaterFactory
class_666 DragonBreathParticle
class_667 Factory
class_668 EnchantGlyphParticle
class_669 NautilusFactory
class_670 EnchantFactory
class_671 RedDustParticle
class_672 Factory
class_673 ExplosionSmokeParticle
class_674 Factory
class_675 EndRodParticle
class_676 Factory
class_677 FireworksSparkParticle
class_678 Flash
class_679 ExplosionFactory
class_680 Explosion
class_681 FireworkParticle
class_682 BlockFallingDustParticle
class_683 Factory
class_684 EmotionParticle
class_685 AngryVillagerFactory
class_686 HeartFactory
class_687 FlameParticle
class_688 Factory
class_689 ExplosionEmitterParticle
class_690 Factory
class_691 ExplosionLargeParticle
class_692 Factory
class_693 ItemPickupParticle
class_694 LavaEmberParticle
class_695 Factory
class_696 LargeFireSmokeParticle
class_697 Factory
class_698 NoteParticle
class_699 Factory
class_700 ElderGuardianAppearanceParticle
class_701 Factory
class_702 ParticleManager
class_703 Particle
class_704 CloudParticle
class_705 CloudFactory
class_706 SneezeFactory
class_707 ParticleFactory
class_708 AnimatedParticle
class_709 PortalParticle
class_710 Factory
class_711 SpellParticle
class_712 EntityAmbientFactory
class_713 InstantFactory
class_714 EntityFactory
class_715 DefaultFactory
class_716 WitchFactory
class_717 FireSmokeParticle
class_718 Factory
class_719 WaterSplashParticle
class_720 SplashFactory
class_721 SpitParticle
class_722 Factory
class_723 WaterSuspendParticle

class_725 SquidInkParticle
class_726 Factory
class_727 BlockDustParticle
class_728 Factory
class_729 SuspendParticle
class_730 DolphinFactory
class_731 HappyVillagerFactory
class_732 MyceliumFactory
class_733 EmitterParticle
class_734 TotemParticle
class_735 Factory
class_736 CurrentDownParticle
class_737 Factory
class_738 FishingParticle
class_739 Factory
class_740 RainSplashParticle
class_741 Factory
class_742 AbstractClientPlayerEntity
class_743 KeyboardInput
class_744 Input
class_745 OtherClientPlayerEntity
class_746 ClientPlayerEntity
class_747 SimpleNamedScreenHandlerFactory
class_748 HotbarStorageEntry

class_750 BlockBufferBuilderStorage
class_751 CubeMapRenderer

class_753 CubeFace
class_754 DirectionIds
class_755 Corner
class_756 BuiltinModelItemRenderer
class_757 GameRenderer
class_758 BackgroundRenderer
class_759 HeldItemRenderer

class_761 WorldRenderer
class_762 ChunkInfo
class_763 ItemModels

class_765 LightmapTextureManager
class_766 RotatingCubeMapRenderer

class_768 Rect2i
class_769 BuiltChunkStorage



class_773 BlockModels

class_775 FluidRenderer
class_776 BlockRenderManager
class_777 BakedQuad
class_778 BlockModelRenderer
class_779 NeighborData
class_780 AmbientOcclusionCalculator
class_781 Translation
class_782 NeighborOrientation
class_783 ModelElementFace
class_784 Deserializer
class_785 ModelElement
class_786 Deserializer
class_787 ModelElementTexture
class_788 Deserializer
class_789 ModelRotation
class_790 ModelVariantMap
class_791 DeserializationContext
class_792 Deserializer
class_793 JsonUnbakedModel

class_795 Deserializer
class_796 BakedQuadFactory


class_799 ModelOverride
class_800 Deserializer
class_801 ItemModelGenerator
class_802 Frame
class_803 Side
class_804 Transformation
class_805 Deserializer
class_806 ModelOverrideList
class_807 WeightedUnbakedModel
class_808 Deserializer
class_809 ModelTransformation
class_810 Deserializer
class_811 Mode
class_812 AndMultipartModelSelector
class_813 ModelVariant
class_814 Deserializer
class_815 MultipartModelSelector
class_816 MultipartUnbakedModel
class_817 Deserializer
class_818 SimpleMultipartModelSelector
class_819 MultipartModelComponent
class_820 Deserializer
class_821 OrMultipartModelSelector
class_822 BeaconBlockEntityRenderer
class_823 BannerBlockEntityRenderer
class_824 BlockEntityRenderDispatcher
class_825 BedBlockEntityRenderer
class_826 ChestBlockEntityRenderer
class_827 BlockEntityRenderer
class_828 EnchantingTableBlockEntityRenderer
class_829 ConduitBlockEntityRenderer




class_834 ShulkerBoxBlockEntityRenderer
class_835 PistonBlockEntityRenderer
class_836 SkullBlockEntityRenderer
class_837 SignBlockEntityRenderer
class_838 StructureBlockBlockEntityRenderer
class_839 MobSpawnerBlockEntityRenderer
class_840 EndPortalBlockEntityRenderer
class_841 EndGatewayBlockEntityRenderer




class_846 ChunkBuilder


class_849 ChunkData

class_851 BuiltChunk
class_852 ChunkOcclusionDataBuilder
class_853 ChunkRendererRegion
class_854 ChunkOcclusionData





class_860 ChunkLoadingDebugRenderer

class_862 ChunkBorderDebugRenderer
class_863 DebugRenderer
class_864 Renderer
class_865 CollisionDebugRenderer
class_866 SkyLightDebugRenderer
class_867 HeightmapDebugRenderer
class_868 PathfindingDebugRenderer
class_869 NeighborUpdateDebugRenderer
class_870 StructureDebugRenderer
class_871 BlockOutlineDebugRenderer
class_872 WaterDebugRenderer
class_873 WorldGenAttemptDebugRenderer

class_875 AbstractHorseEntityRenderer
class_876 ProjectileEntityRenderer
class_877 ArmorStandEntityRenderer
class_878 BlazeEntityRenderer
class_879 BatEntityRenderer
class_880 CaveSpiderEntityRenderer
class_881 BoatEntityRenderer
class_882 ChickenEntityRenderer
class_883 DonkeyEntityRenderer
class_884 CowEntityRenderer
class_885 CodEntityRenderer

class_887 CreeperEntityRenderer
class_888 DolphinEntityRenderer
class_889 DolphinEntityModel
class_890 DrownedEntityRenderer
class_891 DragonFireballEntityRenderer
class_892 EndCrystalEntityRenderer
class_893 ElderGuardianEntityRenderer
class_894 EndermanEntityRenderer
class_895 EnderDragonEntityRenderer
class_896 EndermiteEntityRenderer
class_897 EntityRenderer
class_898 EntityRenderDispatcher
class_899 EvokerEntityRenderer
class_900 EvokerFangsEntityRenderer
class_901 FallingBlockEntityRenderer
class_902 ExperienceOrbEntityRenderer
class_903 FireworkRocketEntityRenderer

class_905 GhastEntityRenderer
class_906 FishingBobberEntityRenderer
class_907 GuardianEntityRenderer
class_908 GiantEntityRenderer
class_909 BipedEntityRenderer
class_910 HorseEntityRenderer
class_911 RavagerEntityRenderer
class_912 HuskEntityRenderer
class_913 IronGolemEntityRenderer
class_914 IllusionerEntityRenderer
class_915 ItemFrameEntityRenderer
class_916 ItemEntityRenderer
class_917 MagmaCubeEntityRenderer
class_918 ItemRenderer
class_919 LightningEntityRenderer
class_920 LeashKnotEntityRenderer
class_921 LlamaEntityRenderer
class_922 LivingEntityRenderer
class_923 LlamaSpitEntityRenderer

class_925 MinecartEntityRenderer
class_926 MooshroomEntityRenderer
class_927 MobEntityRenderer
class_928 PaintingEntityRenderer
class_929 CatEntityRenderer
class_930 ParrotEntityRenderer
class_931 PandaEntityRenderer
class_932 PigEntityRenderer
class_933 PhantomEntityRenderer
class_934 PillagerEntityRenderer

class_936 PufferfishEntityRenderer
class_937 PolarBearEntityRenderer
class_938 SalmonEntityRenderer
class_939 RabbitEntityRenderer
class_940 ShulkerBulletEntityRenderer
class_941 SheepEntityRenderer
class_942 SilverfishEntityRenderer
class_943 ShulkerEntityRenderer
class_944 ShulkerHeadFeatureRenderer
class_945 SlimeEntityRenderer
class_946 SkeletonEntityRenderer
class_947 SpectralArrowEntityRenderer
class_948 SnowGolemEntityRenderer
class_949 SpiderEntityRenderer
class_950 StrayEntityRenderer
class_951 SquidEntityRenderer

class_953 FlyingItemEntityRenderer
class_954 ArrowEntityRenderer
class_955 TridentEntityRenderer
class_956 TntEntityRenderer
class_957 TntMinecartEntityRenderer
class_958 TurtleEntityRenderer
class_959 TropicalFishEntityRenderer
class_960 VexEntityRenderer
class_961 ZombieHorseEntityRenderer
class_962 VindicatorEntityRenderer
class_963 VillagerEntityRenderer
class_964 WitherEntityRenderer
class_965 WitchEntityRenderer
class_966 WitherSkullEntityRenderer
class_967 WitherSkeletonEntityRenderer
class_968 ZombieBaseEntityRenderer
class_969 WolfEntityRenderer
class_970 ArmorFeatureRenderer
class_971 ZombieVillagerEntityRenderer
class_972 CapeFeatureRenderer
class_973 StuckArrowsFeatureRenderer
class_974 CreeperChargeFeatureRenderer
class_975 EndermanBlockFeatureRenderer
class_976 HeadFeatureRenderer
class_977 DolphinHeldItemFeatureRenderer
class_978 Deadmau5FeatureRenderer
class_979 ElytraFeatureRenderer
class_980 DrownedOverlayFeatureRenderer


class_983 ShoulderParrotFeatureRenderer

class_985 EndermanEyesFeatureRenderer
class_986 IronGolemFlowerFeatureRenderer

class_988 LlamaDecorFeatureRenderer
class_989 HeldItemFeatureRenderer
class_990 PandaHeldItemFeatureRenderer
class_991 MooshroomMushroomFeatureRenderer
class_992 SaddleFeatureRenderer
class_993 PhantomEyesFeatureRenderer
class_994 SheepWoolFeatureRenderer

class_996 SnowmanPumpkinFeatureRenderer
class_997 SlimeOverlayFeatureRenderer
class_998 TridentRiptideFeatureRenderer

class_1000 SpiderEyesFeatureRenderer
class_1001 TropicalFishColorFeatureRenderer
class_1002 StrayOverlayFeatureRenderer

class_1004 WitherArmorFeatureRenderer
class_1005 WitchHeldItemFeatureRenderer
class_1006 WolfCollarFeatureRenderer
class_1007 PlayerEntityRenderer
class_1008 GlDebug


class_1011 NativeImage
class_1012 Format
class_1013 InternalFormat
class_1014 WriteCallback


class_1017 BlendFuncState
class_1018 CapabilityTracker


class_1021 LogicOpState
class_1022 ColorMask


class_1025 CullFaceState
class_1026 DepthTestState



class_1030 LogicOp
class_1031 PolygonOffsetState


class_1034 StencilSubState
class_1035 StencilState



class_1039 Texture2DState
class_1040 Viewport
class_1041 Window

class_1043 NativeImageBackedTexture
class_1044 AbstractTexture

class_1046 PlayerSkinTexture
class_1047 MissingSprite

class_1049 ResourceTexture
class_1050 PngFile
class_1051 Reader
class_1052 ChannelReader
class_1053 SeekableChannelReader
class_1054 TextureStitcherCannotFitException
class_1055 TextureStitcher
class_1056 Holder
class_1057 Slot
class_1058 Sprite
class_1059 SpriteAtlasTexture
class_1060 TextureManager
class_1061 TextureTickListener


class_1064 ResourceIndex
class_1065 DefaultClientResourcePack
class_1066 ClientBuiltinResourcePackProvider
class_1067 DirectResourceIndex
class_1068 DefaultSkinHelper
class_1069 GrassColormapResourceSupplier
class_1070 FoliageColormapResourceSupplier
class_1071 PlayerSkinProvider
class_1072 SkinTextureAvailableCallback
class_1073 Format3ResourcePack
class_1074 I18n

class_1076 LanguageManager
class_1077 LanguageDefinition
class_1078 TranslationStorage
class_1079 AnimationResourceMetadata
class_1080 AnimationFrameResourceMetadata
class_1081 AnimationResourceMetadataReader
class_1082 LanguageResourceMetadata
class_1083 LanguageResourceMetadataReader
class_1084 TextureResourceMetadata
class_1085 TextureResourceMetadataReader
class_1086 ModelRotation
class_1087 BakedModel
class_1088 ModelLoader
class_1089 ModelLoaderException
class_1090 BuiltinBakedModel
class_1091 ModelIdentifier
class_1092 BakedModelManager
class_1093 BasicBakedModel
class_1094 Builder
class_1095 MultipartBakedModel
class_1096 Builder
class_1097 WeightedBakedModel
class_1098 Builder

class_1100 UnbakedModel
class_1101 MovingSoundInstance
class_1102 AbstractSoundInstance
class_1103 ElytraSoundInstance
class_1104 ClientPlayerTickable
class_1105 GuardianAttackSoundInstance
class_1106 EntityTrackingSoundInstance
class_1107 MinecartInsideSoundInstance
class_1108 MovingMinecartSoundInstance
class_1109 PositionedSoundInstance
class_1110 SoundEntry
class_1111 Sound
class_1112 RegistrationType
class_1113 SoundInstance
class_1114 AttenuationType
class_1115 SoundEntryDeserializer
class_1116 AmbientSoundPlayer
class_1117 TickableSoundInstance
class_1118 AmbientSoundLoops
class_1119 MusicLoop
class_1120 Underwater
class_1121 IdentifierSearchProvider
class_1122 IdentifierSearchableIterator
class_1123 ReloadableSearchProvider
class_1124 SearchManager
class_1125 Key
class_1126 TextSearchProvider
class_1127 TextSearchableIterator
class_1128 SuffixArray
class_1129 SearchProvider
class_1130 IntegratedPlayerManager
class_1131 LanServerInfo
class_1132 IntegratedServer
class_1133 LanServerPinger
class_1134 LanServerQueryManager
class_1135 LanServerDetector
class_1136 LanServerEntryList



class_1140 SoundSystem

class_1142 MusicTracker
class_1143 MusicType
class_1144 SoundManager
class_1145 SoundInstanceListener
class_1146 WeightedSoundSet

class_1148 SoundContainer
class_1149 CraftPlanksTutorialStepHandler
class_1150 NoneTutorialStepHandler
class_1151 MovementTutorialStepHandler
class_1152 FindTreeTutorialStepHandler
class_1153 PunchTreeTutorialStepHandler
class_1154 OpenInventoryTutorialStepHandler
class_1155 TutorialStepHandler
class_1156 TutorialManager
class_1157 TutorialStep
class_1158 Quaternion
class_1159 Matrix4f
class_1160 Vec3f
class_1161 Vector3d
class_1162 Vector4f
class_1163 BiomeColors

class_1165 EntityRedundantChanceTagsFix
class_1166 EntityRidingToPassengerFix
class_1167 EntityTransformFix
class_1168 EntitySkeletonSplitFix
class_1169 EntityShulkerColorFix
class_1170 EntityTheRenameningBlock
class_1171 EntityStringUuidFix
class_1172 EntityWolfColorFix
class_1173 EntityTippedArrowFix
class_1174 EntityZombieVillagerTypeFix
class_1175 EntityZombieSplitFix
class_1176 IglooMetadataRemovalFix
class_1177 HeightmapRenamingFix
class_1178 ItemCustomNameToComponentFix
class_1179 ItemBannerColorFix
class_1180 ItemLoreToTextFix
class_1181 ItemIdFix
class_1182 ItemNameFix
class_1183 ItemPotionFix
class_1184 ItemSpawnEggFix
class_1185 ItemShulkerBoxColorFix
class_1186 ItemInstanceMapIdFix
class_1187 ItemStackEnchantmentFix
class_1188 ItemInstanceTheFlatteningFix
class_1189 ItemInstanceSpawnEggFix
class_1190 ItemWaterPotionFix
class_1191 LeavesFix
class_1192 LeavesLogFixer
